2024-10-05 14:32:18,008 - INFO - Started.
2024-10-05 16:38:24,353 - INFO - Epoch 24701/50000, Loss: 55511.0
2024-10-05 16:38:54,823 - INFO - Epoch 24801/50000, Loss: 53596.85546875
2024-10-05 16:39:24,964 - INFO - Epoch 24901/50000, Loss: 52612.8046875
2024-10-05 16:39:55,621 - INFO - Epoch 25001/50000, Loss: 51402.9140625
2024-10-05 16:40:26,106 - INFO - Epoch 25101/50000, Loss: 52700.734375
2024-10-05 16:40:57,247 - INFO - Epoch 25201/50000, Loss: 66351.484375
2024-10-05 16:41:28,873 - INFO - Epoch 25301/50000, Loss: 48881.83203125
2024-10-05 16:41:59,732 - INFO - Epoch 25401/50000, Loss: 48711.58984375
2024-10-05 16:42:30,811 - INFO - Epoch 25501/50000, Loss: 48355.95703125
2024-10-05 16:43:01,234 - INFO - Epoch 25601/50000, Loss: 49884.1796875
2024-10-05 16:43:31,750 - INFO - Epoch 25701/50000, Loss: 62203.51953125
2024-10-05 16:44:01,782 - INFO - Epoch 25801/50000, Loss: 63465.30859375
2024-10-05 16:44:31,751 - INFO - Epoch 25901/50000, Loss: 45294.55859375
2024-10-05 16:45:02,736 - INFO - Epoch 26001/50000, Loss: 55386.00390625
2024-10-05 16:45:32,533 - INFO - Epoch 26101/50000, Loss: 46372.43359375
2024-10-05 16:46:03,253 - INFO - Epoch 26201/50000, Loss: 63902.01171875
2024-10-05 16:46:34,029 - INFO - Epoch 26301/50000, Loss: 49430.00390625
2024-10-05 16:47:04,733 - INFO - Epoch 26401/50000, Loss: 50934.7890625
2024-10-05 16:47:35,203 - INFO - Epoch 26501/50000, Loss: 36575.8125
2024-10-05 16:48:05,549 - INFO - Epoch 26601/50000, Loss: 39507.6328125
2024-10-05 16:48:35,783 - INFO - Epoch 26701/50000, Loss: 37282.73046875
2024-10-05 16:49:06,346 - INFO - Epoch 26801/50000, Loss: 42408.0703125
2024-10-05 16:49:36,377 - INFO - Epoch 26901/50000, Loss: 37091.23046875
2024-10-05 16:50:07,175 - INFO - Epoch 27001/50000, Loss: 44696.75390625
2024-10-05 16:50:38,473 - INFO - Epoch 27101/50000, Loss: 35204.9140625
2024-10-05 16:51:09,944 - INFO - Epoch 27201/50000, Loss: 52783.3515625
2024-10-05 16:51:41,023 - INFO - Epoch 27301/50000, Loss: 38321.3125
2024-10-05 16:52:11,351 - INFO - Epoch 27401/50000, Loss: 37556.265625
2024-10-05 16:52:42,288 - INFO - Epoch 27501/50000, Loss: 37020.9453125
2024-10-05 16:53:13,102 - INFO - Epoch 27601/50000, Loss: 39133.15625
2024-10-05 16:53:42,977 - INFO - Epoch 27701/50000, Loss: 47336.875
2024-10-05 16:54:13,696 - INFO - Epoch 27801/50000, Loss: 39181.53125
2024-10-05 16:54:44,493 - INFO - Epoch 27901/50000, Loss: 51495.41796875
2024-10-05 16:55:14,806 - INFO - Epoch 28001/50000, Loss: 31488.267578125
2024-10-05 16:55:45,198 - INFO - Epoch 28101/50000, Loss: 56402.6640625
2024-10-05 16:56:15,652 - INFO - Epoch 28201/50000, Loss: 30239.181640625
2024-10-05 16:56:45,996 - INFO - Epoch 28301/50000, Loss: 30108.408203125
2024-10-05 16:57:16,574 - INFO - Epoch 28401/50000, Loss: 42250.9921875
2024-10-05 16:57:47,622 - INFO - Epoch 28501/50000, Loss: 36160.6484375
2024-10-05 16:58:18,232 - INFO - Epoch 28601/50000, Loss: 34565.828125
2024-10-05 16:58:48,935 - INFO - Epoch 28701/50000, Loss: 27441.615234375
2024-10-05 16:59:19,779 - INFO - Epoch 28801/50000, Loss: 26432.9375
2024-10-05 16:59:50,404 - INFO - Epoch 28901/50000, Loss: 29136.32421875
2024-10-05 17:00:21,499 - INFO - Epoch 29001/50000, Loss: 30181.720703125
2024-10-05 17:00:51,733 - INFO - Epoch 29101/50000, Loss: 29627.76953125
2024-10-05 17:01:22,343 - INFO - Epoch 29201/50000, Loss: 33123.76953125
2024-10-05 17:01:52,406 - INFO - Epoch 29301/50000, Loss: 22953.77734375
2024-10-05 17:02:22,547 - INFO - Epoch 29401/50000, Loss: 31469.267578125
2024-10-05 17:02:52,861 - INFO - Epoch 29501/50000, Loss: 22949.54296875
2024-10-05 17:03:23,627 - INFO - Epoch 29601/50000, Loss: 22534.240234375
2024-10-05 17:03:54,612 - INFO - Epoch 29701/50000, Loss: 34936.97265625
2024-10-05 17:04:25,815 - INFO - Epoch 29801/50000, Loss: 25742.267578125
2024-10-05 17:04:56,659 - INFO - Epoch 29901/50000, Loss: 27113.00390625
2024-10-05 17:05:27,753 - INFO - Epoch 30001/50000, Loss: 22996.35546875
2024-10-05 17:05:58,410 - INFO - Epoch 30101/50000, Loss: 25157.53125
2024-10-05 17:06:29,410 - INFO - Epoch 30201/50000, Loss: 21913.658203125
2024-10-05 17:06:59,818 - INFO - Epoch 30301/50000, Loss: 22742.65625
2024-10-05 17:07:29,818 - INFO - Epoch 30401/50000, Loss: 32723.478515625
2024-10-05 17:08:00,068 - INFO - Epoch 30501/50000, Loss: 24698.62890625
2024-10-05 17:08:31,178 - INFO - Epoch 30601/50000, Loss: 20518.27734375
2024-10-05 17:09:01,491 - INFO - Epoch 30701/50000, Loss: 21393.8671875
2024-10-05 17:09:32,226 - INFO - Epoch 30801/50000, Loss: 28773.53125
2024-10-05 17:10:02,882 - INFO - Epoch 30901/50000, Loss: 19270.9375
2024-10-05 17:10:32,961 - INFO - Epoch 31001/50000, Loss: 20678.078125
2024-10-05 17:11:03,586 - INFO - Epoch 31101/50000, Loss: 17552.17578125
2024-10-05 17:11:34,258 - INFO - Epoch 31201/50000, Loss: 16821.669921875
2024-10-05 17:12:04,696 - INFO - Epoch 31301/50000, Loss: 24154.138671875
2024-10-05 17:12:35,336 - INFO - Epoch 31401/50000, Loss: 28171.572265625
2024-10-05 17:13:05,962 - INFO - Epoch 31501/50000, Loss: 18409.947265625
2024-10-05 17:13:36,618 - INFO - Epoch 31601/50000, Loss: 23343.345703125
2024-10-05 17:14:06,808 - INFO - Epoch 31701/50000, Loss: 21105.0546875
2024-10-05 17:14:37,293 - INFO - Epoch 31801/50000, Loss: 21143.650390625
2024-10-05 17:15:07,980 - INFO - Epoch 31901/50000, Loss: 19016.52734375
2024-10-05 17:15:38,044 - INFO - Epoch 32001/50000, Loss: 39917.25390625
2024-10-05 17:16:08,435 - INFO - Epoch 32101/50000, Loss: 17028.06640625
2024-10-05 17:16:39,357 - INFO - Epoch 32201/50000, Loss: 14369.30859375
2024-10-05 17:17:09,498 - INFO - Epoch 32301/50000, Loss: 30541.19140625
2024-10-05 17:17:39,390 - INFO - Epoch 32401/50000, Loss: 16557.662109375
2024-10-05 17:18:09,906 - INFO - Epoch 32501/50000, Loss: 13170.6171875
2024-10-05 17:18:40,549 - INFO - Epoch 32601/50000, Loss: 21680.04296875
2024-10-05 17:19:10,487 - INFO - Epoch 32701/50000, Loss: 11865.625
2024-10-05 17:19:41,300 - INFO - Epoch 32801/50000, Loss: 12761.869140625
